protein,degree,betweenness,norm_degree,hub_score
tr|A0A335FV52|A0A335FV52_ACIBA,26,0.010429,1.0,0.604172
tr|A0A1E3M5M9|A0A1E3M5M9_ACIBA,24,0.00715,0.9231,0.556706
tr|A0A077GN97|A0A077GN97_ACIBA,20,0.003924,0.7692,0.463108
tr|A0A098SM27|A0A098SM27_ACIBA,19,0.003957,0.7308,0.440044
tr|V5VBL5|V5VBL5_ACIBA,17,0.00273,0.6538,0.3934
tr|A0A1E3M5S4|A0A1E3M5S4_ACIBA,17,0.002672,0.6538,0.393376
tr|A0A0G4QSW7|A0A0G4QSW7_ACIBA,16,0.002038,0.6154,0.370046
tr|A0A1E3M8I3|A0A1E3M8I3_ACIBA,16,0.00101,0.6154,0.369635
tr|A0A1E3M5Y0|A0A1E3M5Y0_ACIBA,15,0.001195,0.5769,0.346632
tr|V5VE65|V5VE65_ACIBA,14,0.002337,0.5385,0.324012
tr|V5VAY8|V5VAY8_ACIBA,14,0.001836,0.5385,0.323811
tr|A0A1E3M5S5|A0A1E3M5S5_ACIBA,14,0.001713,0.5385,0.323762
tr|V5VFI2|V5VFI2_ACIBA,14,0.001021,0.5385,0.323485
tr|A0A1E3M4P4|A0A1E3M4P4_ACIBA,14,0.000537,0.5385,0.323292
tr|A0A1E3M544|A0A1E3M544_ACIBA,13,0.001484,0.5,0.300594
tr|V5VJG0|V5VJG0_ACIBA,12,0.001437,0.4615,0.277498
tr|A0A1E3M2W1|A0A1E3M2W1_ACIBA,12,0.000597,0.4615,0.277162
tr|V5VDT3|V5VDT3_ACIBA,11,0.002064,0.4231,0.254672
tr|V5VDA7|V5VDA7_ACIBA,11,0.00112,0.4231,0.254294
tr|A0A1E3M2N7|A0A1E3M2N7_ACIBA,11,0.000916,0.4231,0.254213
tr|A0A1E3M5Z6|A0A1E3M5Z6_ACIBA,11,0.000817,0.4231,0.254173
tr|V5VC90|V5VC90_ACIBA,11,0.000817,0.4231,0.254173
tr|V5VFJ3|V5VFJ3_ACIBA,10,0.00096,0.3846,0.231153
tr|A0A1E3M3N5|A0A1E3M3N5_ACIBA,10,0.000437,0.3846,0.230944
tr|A0A1E3M772|A0A1E3M772_ACIBA,9,0.012373,0.3462,0.212642
tr|V5VBR5|V5VBR5_ACIBA,9,0.000178,0.3462,0.207764
tr|A0A1E3M3L6|A0A1E3M3L6_ACIBA,8,0.000745,0.3077,0.184913
tr|V5VH51|V5VH51_ACIBA,8,0.000742,0.3077,0.184912
tr|V5VHK1|V5VHK1_ACIBA,8,0.000598,0.3077,0.184854
tr|A0A1E3M404|A0A1E3M404_ACIBA,8,0.000412,0.3077,0.18478
tr|A0A059ZQ79|A0A059ZQ79_ACIBA,8,0.000335,0.3077,0.184749
tr|A0A1E3M3J4|A0A1E3M3J4_ACIBA,8,0.000324,0.3077,0.184745
tr|A0A1E3M5H2|A0A1E3M5H2_ACIBA,8,0.00024,0.3077,0.184711
tr|A0A1E3M3M8|A0A1E3M3M8_ACIBA,8,0.000222,0.3077,0.184704
tr|V5VHT4|V5VHT4_ACIBA,7,0.002827,0.2692,0.162669
tr|A0A5P1UNA0|A0A5P1UNA0_ACIBA,7,0.001402,0.2692,0.162099
tr|A0A059ZV46|A0A059ZV46_ACIBA,7,0.001339,0.2692,0.162074
tr|V5VHR7|V5VHR7_ACIBA,6,0.002738,0.2308,0.139557
tr|V5VH86|V5VH86_ACIBA,6,0.001961,0.2308,0.139246
tr|Q5DL40|Q5DL40_ACIBA,6,0.001576,0.2308,0.139092
tr|V5VHU3|V5VHU3_ACIBA,6,0.001175,0.2308,0.138931
tr|A0A059ZHD8|A0A059ZHD8_ACIBA,6,0.000327,0.2308,0.138592
tr|A0A098SKY8|A0A098SKY8_ACIBA,6,0.000146,0.2308,0.13852
tr|A0A1E3M1Z1|A0A1E3M1Z1_ACIBA,6,0.000112,0.2308,0.138506
tr|A0A059ZJ17|A0A059ZJ17_ACIBA,6,6.3e-05,0.2308,0.138487
tr|A0A059ZGV9|A0A059ZGV9_ACIBA,5,0.016762,0.1923,0.122089
tr|A0A1E3M5X7|A0A1E3M5X7_ACIBA,5,0.005758,0.1923,0.117688
tr|V5VB41|V5VB41_ACIBA,5,0.00156,0.1923,0.116009
tr|A0A059ZN38|A0A059ZN38_ACIBA,5,0.001176,0.1923,0.115855
tr|V5VG25|V5VG25_ACIBA,5,0.001166,0.1923,0.115851
tr|V5VHJ5|V5VHJ5_ACIBA,5,0.001042,0.1923,0.115801
tr|A0A059ZKT7|A0A059ZKT7_ACIBA,5,0.000652,0.1923,0.115645
tr|A0A0D5YLM2|A0A0D5YLM2_ACIBA,5,0.00053,0.1923,0.115597
tr|A0A1E3M856|A0A1E3M856_ACIBA,5,0.000107,0.1923,0.115427
tr|A0A059ZLC4|A0A059ZLC4_ACIBA,5,5.9e-05,0.1923,0.115408
tr|A0A1E3M728|A0A1E3M728_ACIBA,4,0.017626,0.1538,0.099358
tr|A0A1E3MBE7|A0A1E3MBE7_ACIBA,4,0.011763,0.1538,0.097013
tr|A0A059ZND2|A0A059ZND2_ACIBA,4,0.005105,0.1538,0.09435
tr|A0A7U4X5T2|A0A7U4X5T2_ACIBA,4,0.002402,0.1538,0.093269
tr|A0A1E3M7L2|A0A1E3M7L2_ACIBA,4,0.001908,0.1538,0.093071
tr|A0A059ZUB2|A0A059ZUB2_ACIBA,4,0.001766,0.1538,0.093014
tr|V5V9P8|V5V9P8_ACIBA,4,0.001219,0.1538,0.092795
tr|V5V944|V5V944_ACIBA,4,0.001066,0.1538,0.092734
tr|V5VC16|V5VC16_ACIBA,4,0.000574,0.1538,0.092537
