protein_a,protein_b,score
tr|A0A1E3M7L2|A0A1E3M7L2_ACIBA,tr|A0A1E3M9E0|A0A1E3M9E0_ACIBA,0.998046875
tr|A0A1E3M924|A0A1E3M924_ACIBA,tr|A0A1E3M902|A0A1E3M902_ACIBA,0.99755859375
tr|A0A0H4UXK8|A0A0H4UXK8_ACIBA,tr|A0A1E3M902|A0A1E3M902_ACIBA,0.99658203125
tr|A0A0H4UXK8|A0A0H4UXK8_ACIBA,tr|V5VDT3|V5VDT3_ACIBA,0.99609375
tr|A0A1E3M924|A0A1E3M924_ACIBA,tr|V5VDT3|V5VDT3_ACIBA,0.9951171875
tr|A0A1E3M1Z1|A0A1E3M1Z1_ACIBA,tr|A0A1E3M659|A0A1E3M659_ACIBA,0.9921875
tr|A0A0X3QXR9|A0A0X3QXR9_ACIBA,tr|V5VFW1|V5VFW1_ACIBA,0.990234375
tr|A0A0D5YK69|A0A0D5YK69_ACIBA,tr|A0A1A1SVI5|A0A1A1SVI5_ACIBA,0.98974609375
tr|A0A1E3M495|A0A1E3M495_ACIBA,tr|A0A1E3M1Z1|A0A1E3M1Z1_ACIBA,0.9892578125
tr|A0A1E3M404|A0A1E3M404_ACIBA,tr|A0A090C180|A0A090C180_ACIBA,0.98876953125
tr|V5VB91|V5VB91_ACIBA,tr|A0A1E3M404|A0A1E3M404_ACIBA,0.98828125
tr|A0A1E3M404|A0A1E3M404_ACIBA,tr|A0A1E3M659|A0A1E3M659_ACIBA,0.98779296875
tr|A0A1E3M404|A0A1E3M404_ACIBA,tr|A0A1E3M4A4|A0A1E3M4A4_ACIBA,0.9873046875
tr|A0A1E3M495|A0A1E3M495_ACIBA,tr|A0A1E3M404|A0A1E3M404_ACIBA,0.98681640625
tr|V5V9I8|V5V9I8_ACIBA,tr|A0A5P1UF67|A0A5P1UF67_ACIBA,0.98681640625
tr|V5V9I6|V5V9I6_ACIBA,tr|V5V9N0|V5V9N0_ACIBA,0.986328125
tr|A0A090C180|A0A090C180_ACIBA,tr|A0A1E3M1Z1|A0A1E3M1Z1_ACIBA,0.986328125
tr|V5VGN6|V5VGN6_ACIBA,tr|V5V957|V5V957_ACIBA,0.986328125
tr|A0A1E3M4A4|A0A1E3M4A4_ACIBA,tr|A0A1E3M1Z1|A0A1E3M1Z1_ACIBA,0.986328125
tr|V5VF95|V5VF95_ACIBA,tr|V5VGE8|V5VGE8_ACIBA,0.9853515625
tr|V5VFW1|V5VFW1_ACIBA,tr|V5V9Q2|V5V9Q2_ACIBA,0.98486328125
tr|V5VB91|V5VB91_ACIBA,tr|A0A1E3M1Z1|A0A1E3M1Z1_ACIBA,0.98193359375
tr|V5VCB4|V5VCB4_ACIBA,tr|V5VC14|V5VC14_ACIBA,0.9794921875
tr|V5V9P8|V5V9P8_ACIBA,tr|V5VHJ5|V5VHJ5_ACIBA,0.9775390625
tr|A0A1E3MBE7|A0A1E3MBE7_ACIBA,tr|V5VA62|V5VA62_ACIBA,0.9765625
tr|A0A1E3M5P3|A0A1E3M5P3_ACIBA,tr|A0A1E3M5N6|A0A1E3M5N6_ACIBA,0.9765625
tr|V5VB30|V5VB30_ACIBA,tr|V5V9I1|V5V9I1_ACIBA,0.97607421875
tr|V5V957|V5V957_ACIBA,tr|V5V9M5|V5V9M5_ACIBA,0.9755859375
tr|V5VAK6|V5VAK6_ACIBA,tr|A0A086I1Y6|A0A086I1Y6_ACIBA,0.9755859375
tr|V5VHK1|V5VHK1_ACIBA,tr|V5VEU7|V5VEU7_ACIBA,0.974609375
tr|V5V9M8|V5V9M8_ACIBA,tr|V5V9B5|V5V9B5_ACIBA,0.9736328125
tr|V5VEU7|V5VEU7_ACIBA,tr|V5VHT4|V5VHT4_ACIBA,0.97314453125
tr|A0A1E3M924|A0A1E3M924_ACIBA,tr|V5VCF7|V5VCF7_ACIBA,0.970703125
tr|A0A1E3M6E5|A0A1E3M6E5_ACIBA,tr|A0A1E3M533|A0A1E3M533_ACIBA,0.97021484375
tr|V5VHM9|V5VHM9_ACIBA,tr|V5VB35|V5VB35_ACIBA,0.9697265625
tr|V5VGC9|V5VGC9_ACIBA,tr|V5VAG5|V5VAG5_ACIBA,0.9697265625
tr|A0A059ZND2|A0A059ZND2_ACIBA,tr|A0A081H230|A0A081H230_ACIBA,0.96923828125
tr|V5V952|V5V952_ACIBA,tr|V5VB46|V5VB46_ACIBA,0.9658203125
tr|V5VD32|V5VD32_ACIBA,tr|V5VCB4|V5VCB4_ACIBA,0.962890625
tr|V5VDL1|V5VDL1_ACIBA,tr|V5VBC2|V5VBC2_ACIBA,0.9619140625
tr|A0A1E3M495|A0A1E3M495_ACIBA,tr|A0A059ZLC4|A0A059ZLC4_ACIBA,0.95947265625
tr|V5V9P9|V5V9P9_ACIBA,tr|V5VGC9|V5VGC9_ACIBA,0.958984375
tr|V5VHQ9|V5VHQ9_ACIBA,tr|V5VC71|V5VC71_ACIBA,0.95703125
tr|V5VHI9|V5VHI9_ACIBA,tr|G1C6Z8|G1C6Z8_ACIBA,0.95703125
tr|A0A1E3M659|A0A1E3M659_ACIBA,tr|A0A059ZLC4|A0A059ZLC4_ACIBA,0.95458984375
tr|V5VHJ1|V5VHJ1_ACIBA,tr|A0A1E3M898|A0A1E3M898_ACIBA,0.95458984375
tr|V5VC14|V5VC14_ACIBA,tr|V5VBV1|V5VBV1_ACIBA,0.95361328125
tr|V5V9N8|V5V9N8_ACIBA,tr|V5V9B5|V5V9B5_ACIBA,0.95166015625
tr|V5VHI9|V5VHI9_ACIBA,tr|G1C6X4|G1C6X4_ACIBA,0.951171875
tr|V5VIJ9|V5VIJ9_ACIBA,tr|A0A1E3MBC3|A0A1E3MBC3_ACIBA,0.95068359375
tr|V5V940|V5V940_ACIBA,tr|V5V9I6|V5V9I6_ACIBA,0.95068359375
tr|V5V940|V5V940_ACIBA,tr|V5V9N0|V5V9N0_ACIBA,0.94580078125
tr|V5VCX9|V5VCX9_ACIBA,tr|G1C6X4|G1C6X4_ACIBA,0.9443359375
tr|A0A1A5UJ33|A0A1A5UJ33_ACIBA,tr|V5VIG4|V5VIG4_ACIBA,0.94384765625
tr|V5VGI6|V5VGI6_ACIBA,tr|V5VHU3|V5VHU3_ACIBA,0.94189453125
tr|A0A077GN97|A0A077GN97_ACIBA,tr|A0A0G4QSW7|A0A0G4QSW7_ACIBA,0.94140625
tr|A0A0D7T2Y0|A0A0D7T2Y0_ACIBA,tr|V5VDM2|V5VDM2_ACIBA,0.939453125
tr|A0A1E3M4A4|A0A1E3M4A4_ACIBA,tr|A0A059ZLC4|A0A059ZLC4_ACIBA,0.9345703125
tr|A0A0G4QSW7|A0A0G4QSW7_ACIBA,tr|A0A1E3M5S4|A0A1E3M5S4_ACIBA,0.93408203125
tr|V5V9Y3|V5V9Y3_ACIBA,tr|A0A059ZHD8|A0A059ZHD8_ACIBA,0.931640625
tr|V5VG19|V5VG19_ACIBA,tr|A0A0D5YLM2|A0A0D5YLM2_ACIBA,0.93115234375
tr|A0A0D5YLM2|A0A0D5YLM2_ACIBA,tr|V5VIQ3|V5VIQ3_ACIBA,0.9306640625
tr|A0A0G4QSW7|A0A0G4QSW7_ACIBA,tr|V5VFI2|V5VFI2_ACIBA,0.9306640625
tr|V5VGK1|V5VGK1_ACIBA,tr|V5VIH3|V5VIH3_ACIBA,0.93017578125
tr|A0A098SM27|A0A098SM27_ACIBA,tr|A0A1E3M5Y0|A0A1E3M5Y0_ACIBA,0.9296875
tr|A0A0X3QXR9|A0A0X3QXR9_ACIBA,tr|V5V9Q2|V5V9Q2_ACIBA,0.9287109375
tr|A0A098SM27|A0A098SM27_ACIBA,tr|A0A1E3M5S4|A0A1E3M5S4_ACIBA,0.9287109375
tr|A0A1E3M5Y0|A0A1E3M5Y0_ACIBA,tr|A0A0G4QSW7|A0A0G4QSW7_ACIBA,0.927734375
tr|A0A098SM27|A0A098SM27_ACIBA,tr|A0A077GN97|A0A077GN97_ACIBA,0.92724609375
tr|A0A098SM27|A0A098SM27_ACIBA,tr|V5VFI2|V5VFI2_ACIBA,0.9267578125
tr|A0A077GUA2|A0A077GUA2_ACIBA,tr|A0A077GW93|A0A077GW93_ACIBA,0.9267578125
tr|V5VBA5|V5VBA5_ACIBA,tr|V5VG47|V5VG47_ACIBA,0.9267578125
tr|A0A1E3MA15|A0A1E3MA15_ACIBA,tr|A0A1E3MA06|A0A1E3MA06_ACIBA,0.92626953125
tr|V5VG19|V5VG19_ACIBA,tr|V5VG26|V5VG26_ACIBA,0.9248046875
tr|V5VCN3|V5VCN3_ACIBA,tr|A0A5P1UPU3|A0A5P1UPU3_ACIBA,0.92431640625
tr|V5VD32|V5VD32_ACIBA,tr|V5VBV1|V5VBV1_ACIBA,0.923828125
tr|V5VDC6|V5VDC6_ACIBA,tr|V5VBZ8|V5VBZ8_ACIBA,0.923828125
tr|V5VB46|V5VB46_ACIBA,tr|V5V961|V5V961_ACIBA,0.9228515625
tr|A0A1E3M9E0|A0A1E3M9E0_ACIBA,tr|A0A1E3M7K4|A0A1E3M7K4_ACIBA,0.921875
tr|A0A059ZPB6|A0A059ZPB6_ACIBA,tr|V5VG19|V5VG19_ACIBA,0.92041015625
tr|A0A1E3MAZ9|A0A1E3MAZ9_ACIBA,tr|V5V989|V5V989_ACIBA,0.91943359375
tr|A0A059ZV46|A0A059ZV46_ACIBA,tr|A0A1E3M7X4|A0A1E3M7X4_ACIBA,0.91943359375
tr|V5VE65|V5VE65_ACIBA,tr|A0A077GN97|A0A077GN97_ACIBA,0.91845703125
tr|V5VDU6|V5VDU6_ACIBA,tr|V5VDL9|V5VDL9_ACIBA,0.91748046875
tr|A0A0G4QSW7|A0A0G4QSW7_ACIBA,tr|A0A1E3M5Z6|A0A1E3M5Z6_ACIBA,0.91455078125
tr|V5V944|V5V944_ACIBA,tr|V5VB52|V5VB52_ACIBA,0.9140625
tr|A0A059ZNX5|A0A059ZNX5_ACIBA,tr|V5V9B2|V5V9B2_ACIBA,0.91357421875
tr|V5V9P7|V5V9P7_ACIBA,tr|A0A059ZGZ2|A0A059ZGZ2_ACIBA,0.91162109375
tr|V5VE65|V5VE65_ACIBA,tr|V5VFI2|V5VFI2_ACIBA,0.91162109375
tr|V5VCN4|V5VCN4_ACIBA,tr|V5VB41|V5VB41_ACIBA,0.908203125
tr|V5VHU3|V5VHU3_ACIBA,tr|V5VG25|V5VG25_ACIBA,0.90771484375
tr|A0A090C180|A0A090C180_ACIBA,tr|A0A059ZLC4|A0A059ZLC4_ACIBA,0.90771484375
tr|V5VGI6|V5VGI6_ACIBA,tr|V5VG26|V5VG26_ACIBA,0.9072265625
tr|V5VG36|V5VG36_ACIBA,tr|V5VG32|V5VG32_ACIBA,0.90625
tr|A0A0D5YHQ6|A0A0D5YHQ6_ACIBA,tr|V5VC03|V5VC03_ACIBA,0.90576171875
tr|A0A1E3M5Z6|A0A1E3M5Z6_ACIBA,tr|A0A098SM27|A0A098SM27_ACIBA,0.9052734375
tr|V5VD32|V5VD32_ACIBA,tr|V5VBR0|V5VBR0_ACIBA,0.90478515625
tr|V5VE65|V5VE65_ACIBA,tr|A0A1E3M5S4|A0A1E3M5S4_ACIBA,0.904296875
tr|V5VBC5|V5VBC5_ACIBA,tr|V5VH86|V5VH86_ACIBA,0.90380859375
tr|V5VDA7|V5VDA7_ACIBA,tr|V5VE65|V5VE65_ACIBA,0.90185546875
tr|V5V9J7|V5V9J7_ACIBA,tr|V5VD51|V5VD51_ACIBA,0.9013671875
tr|V5VE65|V5VE65_ACIBA,tr|A0A1E3M5Y0|A0A1E3M5Y0_ACIBA,0.900390625
