query,target,fident,alnlen,mismatch,gapopen,qstart,qend,tstart,tend,evalue,bits,alntmscore,query_uniprot,target_uniprot,query_gene,target_gene,target_organism
AF-A0A1L5TUM7-F1-model_v4,AF-Q5T0F9-4-F1-model_v6,0.102,39,35,0,21,59,2,40,9.363,58,1.009,A0A1L5TUM7,Q5T0F9,,CC2D1B,9606
AF-A0A1E3M9B3-F1-model_v4,AF-Q5T0F9-4-F1-model_v6,0.128,39,34,0,30,68,2,40,4.063,68,1.009,A0A1E3M9B3,Q5T0F9,,CC2D1B,9606
AF-V5V9P7-F1-model_v4,AF-Q9P0J6-F1-model_v6,0.421,38,22,0,1,38,66,103,0.001163,195,0.9996,V5V9P7,Q9P0J6,rpmJ,MRPL36,9606
AF-V5VGR3-F1-model_v4,AF-P98179-F1-model_v6,0.342,76,50,0,2,77,7,82,3.852e-10,401,0.9977,V5VGR3,P98179,,RBM3,9606
AF-A0A1E3MBQ6-F1-model_v4,AF-P24752-2-F1-model_v6,0.5,102,51,0,5,106,43,144,1.576e-09,309,0.9976,A0A1E3MBQ6,P24752,,ACAT1,9606
AF-V5VBH1-F1-model_v4,AF-P30793-3-F1-model_v6,0.503,139,69,0,3,141,71,209,2.112e-18,706,0.9973,V5VBH1,P30793,folE,GCH1,9606
AF-V5VBH1-F1-model_v4,AF-P30793-2-F1-model_v6,0.5,140,70,0,3,142,71,210,5.486e-19,726,0.9968,V5VBH1,P30793,folE,GCH1,9606
AF-A0A081H4N6-F1-model_v4,AF-P24752-2-F1-model_v6,0.49,102,52,0,5,106,43,144,2.986e-09,303,0.9968,A0A081H4N6,P24752,,ACAT1,9606
AF-V5VAH2-F1-model_v4,AF-P10809-2-F1-model_v6,0.591,120,49,0,3,122,27,146,1.479e-09,431,0.9956,V5VAH2,P10809,groL,HSPD1,9606
AF-A0A0H4UB89-F1-model_v4,AF-P28330-F1-model_v6,0.48,375,194,1,15,388,50,424,1.293e-39,1983,0.9936,A0A0H4UB89,P28330,,ACADL,9606
AF-V5VBH1-F1-model_v4,AF-P30793-F1-model_v6,0.494,180,91,0,3,182,71,250,4.044e-26,1019,0.9932,V5VBH1,P30793,folE,GCH1,9606
AF-A0A1E3M206-F1-model_v4,AF-P16219-F1-model_v6,0.482,375,194,0,1,375,32,406,2.43e-40,2006,0.9929,A0A1E3M206,P16219,,ACADS,9606
AF-A0A1E3MAD1-F1-model_v4,AF-P16930-2-F1-model_v6,0.563,348,152,0,76,423,2,349,3.609e-54,2060,0.9914,A0A1E3MAD1,P16930,,FAH,9606
AF-A0A1E3M5Y2-F1-model_v4,AF-P16219-F1-model_v6,0.457,374,203,0,1,374,32,405,1.934e-38,1927,0.9898,A0A1E3M5Y2,P16219,,ACADS,9606
AF-A0A1E3M206-F1-model_v4,AF-P45954-2-F1-model_v6,0.437,327,183,1,49,375,1,326,2.082e-31,1519,0.9896,A0A1E3M206,P45954,,ACADSB,9606
AF-V5V8K0-F1-model_v4,AF-Q9UF47-F1-model_v6,0.573,68,29,0,6,73,20,87,1.489e-06,294,0.9879,V5V8K0,Q9UF47,dnaJ,DNAJC5B,9606
AF-A0A1E3M5Y2-F1-model_v4,AF-P45954-2-F1-model_v6,0.45,326,178,1,49,374,1,325,6.203000000000001e-31,1506,0.9878,A0A1E3M5Y2,P45954,,ACADSB,9606
AF-A0A1E3M206-F1-model_v4,AF-P45954-F1-model_v6,0.405,375,222,1,1,375,55,428,9.094999999999999e-37,1803,0.9875,A0A1E3M206,P45954,,ACADSB,9606
AF-V5VGJ9-F1-model_v4,AF-Q9Y3B8-2-F1-model_v6,0.48,181,93,1,6,185,2,182,5.368e-25,975,0.9872,V5VGJ9,Q9Y3B8,orn,REXO2,9606
AF-A0A1E3M9B3-F1-model_v4,AF-Q5T0F9-2-F1-model_v6,0.204,44,35,0,26,69,384,427,2.954,73,0.9861,A0A1E3M9B3,Q5T0F9,,CC2D1B,9606
AF-A0A059ZC72-F1-model_v4,AF-P45954-2-F1-model_v6,0.358,332,209,2,57,388,2,329,2.523e-27,1321,0.9858,A0A059ZC72,P45954,,ACADSB,9606
AF-V5VHB0-F1-model_v4,AF-P04424-F1-model_v6,0.443,460,254,2,18,477,7,464,4.947e-41,2110,0.9858,V5VHB0,P04424,argH,ASL,9606
AF-A0A090B7S1-F1-model_v4,AF-P16083-F1-model_v6,0.423,217,124,1,2,217,5,221,3.184e-29,1083,0.9856,A0A090B7S1,P16083,,NQO2,9606
AF-V5VGJ9-F1-model_v4,AF-Q9Y3B8-3-F1-model_v6,0.467,186,98,1,1,185,3,188,2.937e-25,986,0.9849,V5VGJ9,Q9Y3B8,orn,REXO2,9606
AF-R4LDE1-F1-model_v4,AF-P05165-2-F1-model_v6,0.448,444,239,5,1,439,36,478,6.562e-62,2349,0.9846,R4LDE1,P05165,accC,PCCA,9606
AF-A0A1L5TUH5-F1-model_v4,AF-Q8WWX0-F1-model_v6,0.255,86,62,1,32,115,72,157,0.0006038,232,0.9841,A0A1L5TUH5,Q8WWX0,,ASB5,9606
AF-A0A1E3MBQ6-F1-model_v4,AF-Q9BWD1-F1-model_v6,0.459,392,208,3,3,391,7,397,1.259e-56,2017,0.984,A0A1E3MBQ6,Q9BWD1,,ACAT2,9606
AF-V5VGJ9-F1-model_v4,AF-Q9Y3B8-F1-model_v6,0.475,183,95,1,4,185,38,220,5.368e-25,973,0.9839,V5VGJ9,Q9Y3B8,orn,REXO2,9606
AF-A0A0D5YM82-F1-model_v4,AF-P31937-F1-model_v6,0.489,296,151,0,1,296,40,335,6.255e-39,1646,0.9835,A0A0D5YM82,P31937,mmsB,HIBADH,9606
AF-A0A1L5TUH5-F1-model_v4,AF-Q9ULH0-3-F1-model_v6,0.345,84,53,1,34,115,42,125,0.000749,226,0.9833,A0A1L5TUH5,Q9ULH0,,KIDINS220,9606
AF-A0A090B7S1-F1-model_v4,AF-P15559-F1-model_v6,0.415,226,131,1,2,226,5,230,9.201999999999999e-29,1059,0.9833,A0A090B7S1,P15559,,NQO1,9606
AF-A0A1L5TUH5-F1-model_v4,AF-Q9ULH0-2-F1-model_v6,0.341,82,52,1,36,115,2,83,0.0009292,219,0.9831,A0A1L5TUH5,Q9ULH0,,KIDINS220,9606
AF-A0A059ZC72-F1-model_v4,AF-P16219-F1-model_v6,0.403,387,226,2,3,389,29,410,8.829e-34,1656,0.9831,A0A059ZC72,P16219,,ACADS,9606
AF-A0A1L5TUH5-F1-model_v4,AF-Q9ULH0-4-F1-model_v6,0.345,84,53,1,34,115,42,125,0.0001748,250,0.9831,A0A1L5TUH5,Q9ULH0,,KIDINS220,9606
AF-A0A1E3M3F1-F1-model_v4,AF-O94788-4-F1-model_v6,0.37,418,260,3,68,483,1,417,1.173e-50,1953,0.9829,A0A1E3M3F1,O94788,gabD,ALDH1A2,9606
AF-A0A1E3M8M3-F1-model_v4,AF-P28330-F1-model_v6,0.414,379,215,3,1,377,54,427,6.076e-37,1815,0.982,A0A1E3M8M3,P28330,,ACADL,9606
AF-R4LDE1-F1-model_v4,AF-P05165-F1-model_v6,0.448,444,239,5,1,439,62,504,2.513e-61,2324,0.9817,R4LDE1,P05165,accC,PCCA,9606
AF-A0A1L5TUH5-F1-model_v4,AF-O75179-6-F1-model_v6,0.309,84,56,1,34,115,305,388,0.0005721,230,0.9816,A0A1L5TUH5,O75179,,ANKRD17,9606
AF-A0A090BAW5-F1-model_v4,AF-O94788-4-F1-model_v6,0.376,417,255,5,62,474,1,416,2.079e-48,1768,0.9816,A0A090BAW5,O94788,ydcW,ALDH1A2,9606
AF-A0A1E3M558-F1-model_v4,AF-Q709F0-F1-model_v6,0.52,407,189,4,1,406,372,773,7.483999999999999e-41,2050,0.9813,A0A1E3M558,Q709F0,,ACAD11,9606
AF-A0A1E3M206-F1-model_v4,AF-Q9UKU7-F1-model_v6,0.353,379,242,3,1,378,39,415,3.327e-35,1711,0.9813,A0A1E3M206,Q9UKU7,,ACAD8,9606
AF-A0A1E3MBQ6-F1-model_v4,AF-P24752-F1-model_v6,0.443,392,212,4,2,391,40,427,6.3070000000000006e-55,1944,0.9811,A0A1E3MBQ6,P24752,,ACAT1,9606
AF-A0A5P1UIX4-F1-model_v4,AF-Q8N4T8-2-F1-model_v6,0.292,178,122,2,17,194,5,178,3.719e-14,560,0.9808,A0A5P1UIX4,Q8N4T8,,CBR4,9606
AF-A0A1E3M5Y2-F1-model_v4,AF-Q9UKU7-F1-model_v6,0.368,375,234,3,1,374,39,411,1.022e-34,1702,0.9807,A0A1E3M5Y2,Q9UKU7,,ACAD8,9606
AF-A0A1E3MCJ3-F1-model_v4,AF-O94788-4-F1-model_v6,0.342,420,273,3,65,482,1,419,1.305e-50,1861,0.9806,A0A1E3MCJ3,O94788,gabD,ALDH1A2,9606
AF-A0A081H4N6-F1-model_v4,AF-Q9BWD1-2-F1-model_v6,0.435,395,215,4,2,389,31,424,3.2199999999999996e-53,1898,0.9804,A0A081H4N6,Q9BWD1,,ACAT2,9606
AF-A0A0E1JGH6-F1-model_v4,AF-Q9NUB1-2-F1-model_v6,0.477,631,318,8,22,648,58,680,9.478e-89,3362,0.9803,A0A0E1JGH6,Q9NUB1,acs,ACSS1,9606
AF-A0A1E3M5Y2-F1-model_v4,AF-P45954-F1-model_v6,0.437,375,208,3,1,374,55,427,7.628000000000001e-36,1758,0.9803,A0A1E3M5Y2,P45954,,ACADSB,9606
AF-A0A1E3MBQ6-F1-model_v4,AF-Q9BWD1-2-F1-model_v6,0.441,396,213,4,3,391,32,426,1.965e-54,1918,0.9801,A0A1E3MBQ6,Q9BWD1,,ACAT2,9606
AF-V5V9J2-F1-model_v4,AF-Q8TCC3-F1-model_v6,0.232,56,43,0,2,57,65,120,0.002164,166,0.98,V5V9J2,Q8TCC3,rpmD,MRPL30,9606
AF-A0A090BAW5-F1-model_v4,AF-O94788-F1-model_v6,0.371,476,291,6,6,474,38,512,1.1400000000000001e-55,2062,0.98,A0A090BAW5,O94788,ydcW,ALDH1A2,9606
AF-A0A1E3M3F1-F1-model_v4,AF-P05091-F1-model_v6,0.357,484,305,4,5,483,30,512,8.764e-58,2252,0.98,A0A1E3M3F1,P05091,gabD,ALDH2,9606
AF-A0A090BAW5-F1-model_v4,AF-P05091-F1-model_v6,0.366,475,293,6,7,474,38,511,2.6140000000000002e-55,2038,0.9798,A0A090BAW5,P05091,ydcW,ALDH2,9606
AF-A0A0E1JGH6-F1-model_v4,AF-Q9NUB1-3-F1-model_v6,0.501,544,263,5,109,648,23,562,2.937e-78,2904,0.9797,A0A0E1JGH6,Q9NUB1,acs,ACSS1,9606
AF-A0A1E3MAP0-F1-model_v4,AF-O94788-4-F1-model_v6,0.426,427,239,3,63,488,1,422,2.6610000000000003e-55,2103,0.9795,A0A1E3MAP0,O94788,betB,ALDH1A2,9606
AF-A0A081H1H1-F1-model_v4,AF-O75648-5-F1-model_v6,0.531,128,59,1,1,127,3,130,5.897e-14,514,0.9795,A0A081H1H1,O75648,mnmA,TRMU,9606
AF-A0A1E3M3F1-F1-model_v4,AF-O94788-F1-model_v6,0.361,484,301,6,6,483,32,513,1.0210000000000001e-58,2291,0.9795,A0A1E3M3F1,O94788,gabD,ALDH1A2,9606
AF-A0A1E3M5Y2-F1-model_v4,AF-Q9UKU7-3-F1-model_v6,0.369,322,200,3,41,361,2,321,1.469e-28,1369,0.9794,A0A1E3M5Y2,Q9UKU7,,ACAD8,9606
AF-A0A1E3M206-F1-model_v4,AF-Q9UKU7-3-F1-model_v6,0.361,324,204,3,41,363,2,323,1.4480000000000001e-28,1358,0.9793,A0A1E3M206,Q9UKU7,,ACAD8,9606
AF-A0A1E3M3S2-F1-model_v4,AF-O95571-F1-model_v6,0.475,229,114,4,2,227,24,249,2.159e-33,1232,0.9791,A0A1E3M3S2,O95571,,ETHE1,9606
AF-A0A081H4N6-F1-model_v4,AF-Q9BWD1-F1-model_v6,0.45,395,209,4,1,390,5,396,1.0160000000000001e-56,2034,0.979,A0A081H4N6,Q9BWD1,,ACAT2,9606
AF-A0A090BAW5-F1-model_v4,AF-O94788-3-F1-model_v6,0.372,475,290,6,7,474,18,491,1.611e-56,2087,0.979,A0A090BAW5,O94788,ydcW,ALDH1A2,9606
AF-A0A1E3M8M3-F1-model_v4,AF-P45954-2-F1-model_v6,0.318,330,223,2,49,378,1,328,1.089e-26,1287,0.9789,A0A1E3M8M3,P45954,,ACADSB,9606
AF-A0A1E3M558-F1-model_v4,AF-Q709F0-3-F1-model_v6,0.521,403,187,3,5,406,256,653,1.232e-40,2029,0.9785,A0A1E3M558,Q709F0,,ACAD11,9606
AF-V5VHB0-F1-model_v4,AF-P04424-2-F1-model_v6,0.419,460,245,4,18,477,7,444,4.309e-37,1876,0.9784,V5VHB0,P04424,argH,ASL,9606
